observatory,mjd,plate,exposure,image_type,notes
apo,57492,8990,70,dome_flat,no signal on flat - use frame 47
apo,57681,9244,42,object,aborted exposure
apo,57818,9034,28,object,exposures taken during very cloudy conditions - no good
apo,57818,9034,29,object,exposures taken during very cloudy conditions - no good
apo,57913,9980,,,no dome flat for plate 9980 - used cal channel
apo,58013,8657,,,no dome flat taken - used quartzflat 24510052
apo,58036,9250,29,object,plate not actually plugged
apo,58036,9250,30,object,plate not actually plugged
apo,58036,9250,31,object,plate not actually plugged
apo,58036,9250,32,object,plate not actually plugged
apo,58036,9250,33,object,plate not actually plugged
apo,58036,9250,34,object,plate not actually plugged
apo,58036,9250,35,object,plate not actually plugged
apo,58036,9250,36,object,plate not actually plugged
apo,58036,9250,37,flat,plate not actually plugged
apo,58301,7561,54,object,plate observed through thick clouds
apo,58301,7561,55,object,plate observed through thick clouds
apo,58388,10350,8,object,test exposures - do not use
apo,58388,10350,9,object,test exposures - do not use
apo,58388,10350,10,object,test exposures - do not use
apo,58388,10350,11,object,test exposures - do not use
apo,58388,10350,12,object,test exposures - do not use
apo,58444,11229,01,unknown,test exposures
apo,58444,11229,02,unknown,test exposures
apo,58444,11229,03,unknown,test exposures
apo,58444,11229,04,unknown,test exposures
apo,58444,11229,05,unknown,test exposures
apo,58444,11229,06,unknown,test exposures
apo,58444,11229,07,unknown,test exposures
apo,58444,11229,08,unknown,test exposures
apo,58444,11229,09,unknown,test exposures
apo,58444,11229,10,unknown,test exposures
apo,58444,11229,11,unknown,test exposures
apo,58444,11229,12,unknown,test exposures
apo,58444,11229,13,unknown,test exposures
apo,58444,11229,14,unknown,test exposures
apo,58444,11229,15,unknown,test exposures
apo,58444,11229,16,unknown,test exposures
apo,58499,11603,45,object,low counts - observed through clouds
apo,58499,11592,31,object,low counts - observed through clouds
apo,58499,11592,32,object,low counts - observed through clouds
apo,58499,11592,36,object,low counts - observed through clouds
apo,58501,11486,65,object,plate observed through thick clouds
apo,58501,11486,66,object,plate observed through thick clouds
apo,58501,11486,67,object,plate observed through thick clouds
apo,58501,11486,68,object,plate observed through thick clouds
apo,58566,11142,82,object,plate observed through thick clouds
apo,58566,11142,83,object,plate observed through thick clouds
apo,58566,11142,84,object,plate observed through thick clouds
apo,58566,11142,85,object,plate observed through thick clouds
apo,58566,11142,86,object,plate observed through thick clouds
apo,58566,11142,87,object,plate observed through thick clouds
apo,58567,11640,56,object,aborted exposure
apo,58567,11771,73,object,aborted exposure
apo,58631,11415,70,object,stuck dither mechanism - no dither pairs
apo,58631,11415,71,object,stuck dither mechanism - no dither pairs
apo,58631,11260,63,object,stuck dither mechanism - no dither pairs
apo,58631,11260,64,object,stuck dither mechanism - no dither pairs
apo,58631,11260,65,object,stuck dither mechanism - no dither pairs
apo,58631,11260,66,object,stuck dither mechanism - no dither pairs
apo,58634,7961,60,object,aborted exposure due to humidity
apo,58733,11213,64,dome_flat,obs log says ignore this one - used frame 61 instead
apo,58733,11268,11,object,technical issues - exposure hung midway through integration - severed connection
apo,58765,10224,54,object,observed through clouds - no dither pairs
apo,58765,10224,55,object,observed through clouds - no dither pairs
apo,58765,10224,56,object,observed through clouds - no dither pairs
apo,58765,10224,57,object,observed through clouds - no dither pairs
apo,58765,10224,58,object,observed through clouds - no dither pairs
apo,58765,10224,59,object,observed through clouds - no dither pairs
apo,58765,10224,60,object,observed through clouds - no dither pairs
apo,58765,10224,61,object,observed through clouds - no dither pairs
apo,58765,10224,62,object,observed through clouds - no dither pairs
apo,58765,10224,63,object,observed through clouds - no dither pairs
apo,58765,10224,64,object,observed through clouds - no dither pairs
apo,58765,10224,65,object,observed through clouds - no dither pairs
apo,58789,7965,22,object,exposure aborted because plate was complete
apo,58789,12079,48,object,exposure aborted because plate was complete
apo,58793,12030,74,calibration,cal shutter failed to open - everything is a dark
apo,58793,12030,75,calibration,cal shutter failed to open - everything is a dark
apo,58793,12030,76,calibration,cal shutter failed to open - everything is a dark
apo,58793,12030,77,calibration,cal shutter failed to open - everything is a dark
apo,58793,12030,78,calibration,cal shutter failed to open - everything is a dark
apo,58793,12030,79,calibration,cal shutter failed to open - everything is a dark
apo,58793,12030,80,calibration,cal shutter failed to open - everything is a dark
apo,58793,12030,81,calibration,cal shutter failed to open - everything is a dark
apo,58793,12030,82,calibration,cal shutter failed to open - everything is a dark
apo,58793,12030,83,calibration,cal shutter failed to open - everything is a dark
apo,58793,12030,84,calibration,cal shutter failed to open - everything is a dark
apo,58900,11958,74,object,no dither pairs - stuck mechanism
apo,58900,11958,75,object,no dither pairs - stuck mechanism
apo,58900,11958,76,object,no dither pairs - stuck mechanism
apo,58900,11958,77,object,no dither pairs - stuck mechanism
apo,58900,11958,78,object,no dither pairs - stuck mechanism
apo,58900,11958,79,object,no dither pairs - stuck mechanism
apo,58929,11970,56,quartz_flat,no peaks found - low counts
apo,58929,11970,57,quartz_flat,no peaks found - low counts
apo,58929,11970,58,quartz_flat,no peaks found - low counts
apo,59059,12684,24,dark,gang connector not connected
apo,59060,11424,68,object,no dither pairs - stuck mechanism
apo,59060,11424,69,object,no dither pairs - stuck mechanism
apo,59073,11759,55,object,no dither pairs - stuck mechanism
apo,59073,11759,56,object,no dither pairs - stuck mechanism
apo,59073,11759,57,object,no dither pairs - stuck mechanism
apo,59073,11759,58,object,no dither pairs - stuck mechanism
apo,59075,11425,11,object,clouds - low signal
apo,59075,11425,12,object,clouds - low signal
apo,59078,12696,64,object,no dither pairs - stuck mechanism
apo,59078,12696,65,object,no dither pairs - stuck mechanism
apo,59078,12696,66,object,no dither pairs - stuck mechanism
apo,59078,12696,67,object,no dither pairs - stuck mechanism
apo,59078,12696,68,object,no dither pairs - stuck mechanism
apo,59078,12696,69,object,no dither pairs - stuck mechanism
apo,59078,12696,70,object,no dither pairs - stuck mechanism
apo,59078,12696,71,object,no dither pairs - stuck mechanism
apo,59078,9483,75,object,no dither pairs - stuck mechanism
apo,59078,9483,76,object,no dither pairs - stuck mechanism
lco,57852,9715,37,dome_flat,no signal - use flat 52
lco,57918,9818,45,science,frames taken with dome closed
lco,57918,9818,46,science,frames taken with dome closed
lco,57918,9818,47,science,frames taken with dome closed
lco,57918,9818,48,science,frames taken with dome closed
lco,57918,9818,49,science,frames taken with dome closed
lco,57918,9818,50,science,frames taken with dome closed
lco,57918,9818,51,science,frames taken with dome closed
lco,57918,9818,52,science,frames taken with dome closed
lco,57940,9715,20,science,low signal - crashed reduction on telluric step
